	u{power: 1.0}_u	C_u	v{power: 1.0} * u{power: 1.0}_u	v{power: 1.0}_u	du/dx1{power: 1.0} * v{power: 1.0}_u	du/dx1{power: 1.0}_u	du/dx1{power: 1.0} * u{power: 1.0}_u	dv/dx1{power: 1.0}_u	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_u	du/dx1{power: 1.0}_r_u	du/dx1{power: 1.0} * u{power: 1.0}_r_u	du/dx1{power: 1.0} * dv/dx1{power: 1.0}_r_u	du/dx1{power: 1.0} * v{power: 1.0}_r_u	C_v	v{power: 1.0}_v	v{power: 1.0} * u{power: 1.0}_v	u{power: 1.0}_v	du/dx1{power: 1.0}_v	dv/dx1{power: 1.0}_v	dv/dx1{power: 1.0} * v{power: 1.0}_v	dv/dx1{power: 1.0} * u{power: 1.0}_v	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_v	u{power: 1.0} * du/dx1{power: 1.0}_v	dv/dx1{power: 1.0}_r_v	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_r_v	dv/dx1{power: 1.0} * v{power: 1.0}_r_v
0	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
1	0.0	0.4228331141	0.0	-0.6997862234	0.728457188	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999412334	-2.09874e-05	0.0	0.4999485387	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
2	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
3	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
4	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
5	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
6	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4059841484	0.0	0.0	0.3958176668	0.0	-0.9070366991	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
7	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
8	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
9	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
10	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
11	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
12	0.0	-0.6896980757	0.0	1.3793644605	0.0	2.1362380618	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.4999412334	-2.09874e-05	0.0	0.4999485387	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
13	0.0	-0.6896980757	0.0	1.3793644605	0.0	2.1362380618	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
14	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.0384700755	-0.0793444093	0.0	0.0	0.0	0.0	0.0	0.7799594582	0.0	0.0	-1.0	0.0	0.0
15	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
16	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999412334	-2.09874e-05	0.0	0.4999485387	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
17	0.0	-0.6896980757	0.0	1.3793644605	0.0	2.1362380618	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
18	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
19	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
20	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
21	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.2629345513	0.0	0.0	-0.2629343488	0.0	1.1020686709	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
22	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
23	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
24	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
25	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999412334	-2.09874e-05	0.0	0.4999485387	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
26	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
27	0.0	-0.6896980757	0.0	1.3793644605	0.0	2.1362380618	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
28	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
29	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
30	0.0	0.3305577128	0.0	-0.6611008333	0.0	0.0	0.4576246249	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999694087	0.0	0.9999491599	0.0	0.6809389479	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
31	-0.0576541375	0.0882426765	0.0	-0.0815208872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	3.1565e-06	0.0	0.0	0.0	-0.0319513124	0.6400046781	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
32	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
